L1_size,L2_size,L3_size,L1_device,L2_device,L3_device,L1_device_read_latency_(ms),L2_device_read_latency_(ms),L3_device_read_latency_(ms),L1_device_write_latency_(ms),L2_device_write_latency_(ms),L3_device_write_latency_(ms),L1_device_capacity_(GB),L2_device_capacity_(GB),L3_device_capacity_(GB),L1_device_purchase_cost_($),L2_device_purchase_cost_($),L3_device_purchase_cost_($),L1_algorithm,L2_algorithm,write_policy,total_read_latency_(ms),total_write_latency_(ms),total_purchase_cost_($),avg_latency_(ms),avg_throughput_(KB/s),workload,read_requests,write_requests,total_requests,unique_reads,unique_writes,unique_requests,percent_reads,percent_writes,percent_unique_reads,percent_unique_writes,percent_unique_requests,compound miss ratio
1000,21955000,34762000,D3,H1,S3,1.4300000000000002e-05,7.64,0.39399999999999996,1.4300000000000002e-05,4.28,7.1,16000000000,10000000000000,1000000000000,77.87,334.76,119.99,arc,arc,wb-s,7.227765987059354,5.100106343377681,20.11514812416,6.985328697287871,586.3718340971294,w25,324381,41715,366096,30889,27113,58002,88.61,11.39,9.52,65.0,15.84,0.1082830732922512
6947000,4809500,10153300,D1,H1,S1,1.3800000000000002e-05,7.64,0.6629999999999999,1.3800000000000002e-05,4.28,7.935,16000000000,10000000000000,4000000000000,105.0,334.76,451.58,lru,arc,wb-s,1.2459174399378878,4.303462580795619,192.089895426048,1.888982963208145,2168.3625949932225,w27,382534,101883,484417,59389,62434,121823,78.97,21.03,15.53,61.28,25.15,0.2114727600393875
7891600,3382200,10710100,D1,S2,S1,1.3800000000000002e-05,0.675,0.6629999999999999,1.3800000000000002e-05,6.814,7.935,16000000000,4000000000000,4000000000000,105.0,498.26,451.58,lru,arc,wb-s,0.1944458383567042,7.7215214777217325,218.80441029632004,1.6005677990805882,2559.091843752485,w29,426314,97934,524248,61770,61823,123593,81.32,18.68,14.49,63.13,23.58,0.21168797973478198
705700,1676100,1676100,D1,S1,H1,1.3800000000000002e-05,0.6629999999999999,7.64,1.3800000000000002e-05,7.935,4.28,16000000000,4000000000000,10000000000000,105.0,451.58,334.76,arc,arc,wb-s,1.4508109109040075,0.816746884835226,19.9740976459776,0.8441843636616605,4852.020691586311,w33,10730,237234,247964,1925,15517,17442,4.33,95.67,17.94,6.54,7.03,0.0675944895226726
775600,775600,2947300,D2,S2,H3,1.4099999999999999e-05,0.675,2.555,1.4099999999999999e-05,6.814,11.171,16000000000,4000000000000,4000000000000,88.97,498.26,109.99,arc,arc,wb-s,0.7485797796752888,2.8818142102037325,18.392992750592,1.6538409137118104,2476.65900996917,w77,158664,116967,275631,27843,9029,36872,57.56,42.44,17.55,7.72,13.38,0.1666176881410291
100,5073200,10710100,D3,H3,H1,1.4300000000000002e-05,2.555,7.64,1.4300000000000002e-05,11.171,4.28,16000000000,4000000000000,10000000000000,77.87,109.99,334.76,arc,arc,wb-s,3.721167417185925,18.56784034673964,2.0419310063616,6.494652612518884,630.6726848029842,w29,426314,97934,524248,61770,61823,123593,81.32,18.68,14.49,63.13,23.58,0.2179712655079275
1075300,573500,1362100,D1,S1,H2,1.3800000000000002e-05,0.6629999999999999,2.8569999999999998,1.3800000000000002e-05,7.935,12.243,16000000000,4000000000000,1000000000000,105.0,451.58,72.99,arc,lru,wb-s,0.19409473022096801,0.8511307355582582,29.576483682304,0.5265746300171406,7778.5745201333975,w59,160521,164440,324961,12985,9675,22660,49.4,50.6,8.09,5.88,6.97,0.0520093180412418
201770000,145720000,212980000,D3,H2,H1,1.4300000000000002e-05,2.8569999999999998,7.64,1.4300000000000002e-05,12.243,4.28,16000000000,1000000000000,10000000000000,77.87,72.99,334.76,lru,lru,wb-s,1.3952443588745107,5.758897962181461,4094.9972583628796,2.542787627541148,1610.8305529081065,w04,133844,47757,181601,21084,7095,28179,73.7,26.3,15.75,14.86,15.52,0.1192559512337487
1842800,3224900,4376700,D1,S2,S3,1.3800000000000002e-05,0.675,0.39399999999999996,1.3800000000000002e-05,6.814,7.1,16000000000,4000000000000,1000000000000,105.0,498.26,119.99,arc,lru,wb-s,0.0657298196241841,3.3124133842216046,53.33092311654401,0.5075287156738421,8070.479311819377,w51,657556,103572,761128,40336,10761,51097,86.39,13.61,6.13,10.39,6.71,0.0647144764086986
13471000,101026000,127966000,D3,H1,S3,1.4300000000000002e-05,7.64,0.39399999999999996,1.4300000000000002e-05,4.28,7.1,16000000000,10000000000000,1000000000000,77.87,334.76,119.99,lru,arc,wb-s,7.1947930480808875,10.61993627573271,345.28567230873597,8.030751076471946,510.039467167677,w14,569925,184009,753934,126298,42062,168360,75.59,24.41,22.16,22.86,22.33,0.5825947629368088
2843600,258600,4911600,D3,S2,S3,1.4300000000000002e-05,0.675,0.39399999999999996,1.4300000000000002e-05,6.814,7.1,16000000000,4000000000000,1000000000000,77.87,498.26,119.99,lru,arc,wb-s,0.9151859127548944,59.10057935134801,59.232260681728,6.2066380624570945,659.9385945792477,w81,339258,33939,373197,49020,1528,50548,90.91,9.09,14.45,4.5,13.54,0.7887683984597947
2994600,1612500,4376700,D2,S3,S2,1.4099999999999999e-05,0.39399999999999996,0.675,1.4099999999999999e-05,7.1,6.814,16000000000,1000000000000,4000000000000,88.97,119.99,498.26,arc,arc,wb-s,0.0555696450790502,3.058916910699803,71.23154999500801,0.4642560723223952,8822.717125723664,w51,657556,103572,761128,40336,10761,51097,86.39,13.61,6.13,10.39,6.71,0.0585670215784992
624500,832600,988800,D3,S3,H1,1.4300000000000002e-05,0.39399999999999996,7.64,1.4300000000000002e-05,7.1,4.28,16000000000,1000000000000,10000000000000,77.87,119.99,334.76,lru,arc,wb-s,0.390238693391843,0.485874540541636,12.994020066508801,0.454720493649252,9007.731248549013,w88,77480,160366,237846,5437,6511,11948,32.58,67.42,7.02,4.06,5.02,0.0424434297822961
4300300,573400,5447100,D1,H1,S2,1.3800000000000002e-05,7.64,0.675,1.3800000000000002e-05,4.28,6.814,16000000000,10000000000000,4000000000000,105.0,334.76,498.26,arc,arc,wb-s,1.249758421688863,1.7379819736129483,118.44989706199037,1.7240214630284314,2375.8404914547464,w101,6833,232129,238962,4609,54266,58875,2.86,97.14,67.45,23.38,24.64,0.394456022296432
